dataset,linkage,k,sil,db,ch
blobs,single,4,0.6030034262254996,0.38647468242814753,1663.5164774391362
blobs,complete,4,0.7556721060910236,0.3394276490324028,5937.966481106054
blobs,average,4,0.7551931518372729,0.3398449626586153,5924.924913707703
blobs,ward,4,0.7556721060910236,0.3394276490324028,5937.966481106056
moons,single,2,0.3883583350480254,1.0187131126947506,697.2689456051206
moons,complete,2,0.49072181080848437,0.8136269361909645,1096.914831338657
moons,average,2,0.4509797775891942,0.8766924892501363,898.943385782148
moons,ward,2,0.44839009671298113,0.8683520623366444,908.4644971415964
circles,single,2,0.11227595966297713,298.11270243895433,0.00806817555901957
circles,complete,2,0.3408295380777278,1.210502678048364,432.99429483007185
circles,average,2,0.33653451837517584,1.2140955484267806,424.65803891607095
circles,ward,2,0.35064484123035217,1.1890871612137899,453.66023748559536
iris,single,3,0.504645610832545,0.4929252276829151,131.53589557747262
iris,complete,3,0.44961848359884726,0.7583583251269742,213.08170999519314
iris,average,3,0.4802669329728697,0.5752687144265147,149.02579903933162
iris,ward,3,0.4466890410285909,0.8034665302876753,222.71916382215363
